"","Date","Crime","Amalia"
"1","Jan-Mar 2018","Murder",1
"2","Apr-Jun 2018","Murder",0
"3","Jul-Sep 2018","Murder",1
"4","Oct-Dec 2018","Murder",0
"5","Jan-Mar 2019","Murder",0
"6","Apr-Jun 2019","Murder",0
"7","Jul-Sep 2019","Murder",0
"8","Oct-Dec 2019","Murder",0
"9","Jan-Mar 2020","Murder",0
"10","Apr-Jun 2020","Murder",0
"11","Jul-Sep 2020","Murder",1
"12","Oct-Dec 2020","Murder",1
"13","Jan-Mar 2021","Murder",0
"14","Apr-Jun 2021","Murder",0
"15","Jul-Sep 2021","Murder",1
"16","Oct-Dec 2021","Murder",1
"17","Jan-Mar 2022","Murder",0
"18","Apr-Jun 2022","Murder",0
"19","Jul-Sep 2022","Murder",0
"20","Oct-Dec 2022","Murder",0
"21","Jan-Mar 2018","SexOffences",4
"22","Apr-Jun 2018","SexOffences",3
"23","Jul-Sep 2018","SexOffences",0
"24","Oct-Dec 2018","SexOffences",3
"25","Jan-Mar 2019","SexOffences",0
"26","Apr-Jun 2019","SexOffences",1
"27","Jul-Sep 2019","SexOffences",0
"28","Oct-Dec 2019","SexOffences",1
"29","Jan-Mar 2020","SexOffences",4
"30","Apr-Jun 2020","SexOffences",1
"31","Jul-Sep 2020","SexOffences",0
"32","Oct-Dec 2020","SexOffences",3
"33","Jan-Mar 2021","SexOffences",1
"34","Apr-Jun 2021","SexOffences",0
"35","Jul-Sep 2021","SexOffences",0
"36","Oct-Dec 2021","SexOffences",2
"37","Jan-Mar 2022","SexOffences",2
"38","Apr-Jun 2022","SexOffences",5
"39","Jul-Sep 2022","SexOffences",1
"40","Oct-Dec 2022","SexOffences",4
"41","Jan-Mar 2018","AttemptedMurder",0
"42","Apr-Jun 2018","AttemptedMurder",1
"43","Jul-Sep 2018","AttemptedMurder",0
"44","Oct-Dec 2018","AttemptedMurder",0
"45","Jan-Mar 2019","AttemptedMurder",0
"46","Apr-Jun 2019","AttemptedMurder",0
"47","Jul-Sep 2019","AttemptedMurder",0
"48","Oct-Dec 2019","AttemptedMurder",0
"49","Jan-Mar 2020","AttemptedMurder",0
"50","Apr-Jun 2020","AttemptedMurder",0
"51","Jul-Sep 2020","AttemptedMurder",0
"52","Oct-Dec 2020","AttemptedMurder",0
"53","Jan-Mar 2021","AttemptedMurder",2
"54","Apr-Jun 2021","AttemptedMurder",0
"55","Jul-Sep 2021","AttemptedMurder",3
