"","Date","Crime","Assen"
"1","Jan-Mar 2018","Murder",0
"2","Apr-Jun 2018","Murder",1
"3","Jul-Sep 2018","Murder",1
"4","Oct-Dec 2018","Murder",0
"5","Jan-Mar 2019","Murder",0
"6","Apr-Jun 2019","Murder",0
"7","Jul-Sep 2019","Murder",0
"8","Oct-Dec 2019","Murder",0
"9","Jan-Mar 2020","Murder",0
"10","Apr-Jun 2020","Murder",2
"11","Jul-Sep 2020","Murder",0
"12","Oct-Dec 2020","Murder",0
"13","Jan-Mar 2021","Murder",0
"14","Apr-Jun 2021","Murder",1
"15","Jul-Sep 2021","Murder",0
"16","Oct-Dec 2021","Murder",0
"17","Jan-Mar 2022","Murder",0
"18","Apr-Jun 2022","Murder",0
"19","Jul-Sep 2022","Murder",0
"20","Oct-Dec 2022","Murder",0
"21","Jan-Mar 2018","SexOffences",2
"22","Apr-Jun 2018","SexOffences",0
"23","Jul-Sep 2018","SexOffences",1
"24","Oct-Dec 2018","SexOffences",2
"25","Jan-Mar 2019","SexOffences",0
"26","Apr-Jun 2019","SexOffences",0
"27","Jul-Sep 2019","SexOffences",0
"28","Oct-Dec 2019","SexOffences",2
"29","Jan-Mar 2020","SexOffences",1
"30","Apr-Jun 2020","SexOffences",0
"31","Jul-Sep 2020","SexOffences",1
"32","Oct-Dec 2020","SexOffences",0
"33","Jan-Mar 2021","SexOffences",0
"34","Apr-Jun 2021","SexOffences",0
"35","Jul-Sep 2021","SexOffences",0
"36","Oct-Dec 2021","SexOffences",1
"37","Jan-Mar 2022","SexOffences",1
"38","Apr-Jun 2022","SexOffences",3
"39","Jul-Sep 2022","SexOffences",0
"40","Oct-Dec 2022","SexOffences",1
"41","Jan-Mar 2018","AttemptedMurder",0
"42","Apr-Jun 2018","AttemptedMurder",1
"43","Jul-Sep 2018","AttemptedMurder",1
"44","Oct-Dec 2018","AttemptedMurder",1
"45","Jan-Mar 2019","AttemptedMurder",0
"46","Apr-Jun 2019","AttemptedMurder",1
"47","Jul-Sep 2019","AttemptedMurder",0
"48","Oct-Dec 2019","AttemptedMurder",0
"49","Jan-Mar 2020","AttemptedMurder",0
"50","Apr-Jun 2020","AttemptedMurder",0
"51","Jul-Sep 2020","AttemptedMurder",0
"52","Oct-Dec 2020","AttemptedMurder",0
"53","Jan-Mar 2021","AttemptedMurder",3
"54","Apr-Jun 2021","AttemptedMurder",2
"55","Jul-Sep 2021","AttemptedMurder",0
"56","Oct-Dec 2021","AttemptedMurder",1
"57","Jan-Mar 2022","AttemptedMurder",0
"58","Apr-Jun 2022","AttemptedMurder",1
"59","Jul-Sep 2022","AttemptedMurder",0
"60","Oct-Dec 2022","AttemptedMurder",0
"61","Jan-Mar 2018","SeriousAssault",4
"62","Apr-Jun 2018","SeriousAssault",1
"63","Jul-Sep 2018","SeriousAssault",0
"64","Oct-Dec 2018","SeriousAssault",5
"65","Jan-Mar 2019","SeriousAssault",0
"66","Apr-Jun 2019","SeriousAssault",4
"67","Jul-Sep 2019","SeriousAssault",1
"68","Oct-Dec 2019","SeriousAssault",6
