"","Date","Crime","Atamelang"
"1","Jan-Mar 2018","Murder",3
"2","Apr-Jun 2018","Murder",0
"3","Jul-Sep 2018","Murder",2
"4","Oct-Dec 2018","Murder",5
"5","Jan-Mar 2019","Murder",3
"6","Apr-Jun 2019","Murder",1
"7","Jul-Sep 2019","Murder",3
"8","Oct-Dec 2019","Murder",0
"9","Jan-Mar 2020","Murder",2
"10","Apr-Jun 2020","Murder",0
"11","Jul-Sep 2020","Murder",2
"12","Oct-Dec 2020","Murder",2
"13","Jan-Mar 2021","Murder",0
"14","Apr-Jun 2021","Murder",1
"15","Jul-Sep 2021","Murder",1
"16","Oct-Dec 2021","Murder",2
"17","Jan-Mar 2022","Murder",1
"18","Apr-Jun 2022","Murder",0
"19","Jul-Sep 2022","Murder",2
"20","Oct-Dec 2022","Murder",0
"21","Jan-Mar 2018","SexOffences",16
"22","Apr-Jun 2018","SexOffences",7
"23","Jul-Sep 2018","SexOffences",8
"24","Oct-Dec 2018","SexOffences",19
"25","Jan-Mar 2019","SexOffences",11
"26","Apr-Jun 2019","SexOffences",13
"27","Jul-Sep 2019","SexOffences",13
"28","Oct-Dec 2019","SexOffences",6
"29","Jan-Mar 2020","SexOffences",6
"30","Apr-Jun 2020","SexOffences",5
"31","Jul-Sep 2020","SexOffences",7
"32","Oct-Dec 2020","SexOffences",12
"33","Jan-Mar 2021","SexOffences",9
"34","Apr-Jun 2021","SexOffences",7
"35","Jul-Sep 2021","SexOffences",14
"36","Oct-Dec 2021","SexOffences",10
"37","Jan-Mar 2022","SexOffences",8
"38","Apr-Jun 2022","SexOffences",3
"39","Jul-Sep 2022","SexOffences",8
"40","Oct-Dec 2022","SexOffences",13
"41","Jan-Mar 2018","AttemptedMurder",0
"42","Apr-Jun 2018","AttemptedMurder",2
"43","Jul-Sep 2018","AttemptedMurder",0
"44","Oct-Dec 2018","AttemptedMurder",1
"45","Jan-Mar 2019","AttemptedMurder",0
"46","Apr-Jun 2019","AttemptedMurder",2
"47","Jul-Sep 2019","AttemptedMurder",0
"48","Oct-Dec 2019","AttemptedMurder",0
"49","Jan-Mar 2020","AttemptedMurder",1
"50","Apr-Jun 2020","AttemptedMurder",0
"51","Jul-Sep 2020","AttemptedMurder",1
"52","Oct-Dec 2020","AttemptedMurder",0
"53","Jan-Mar 2021","AttemptedMurder",0
"54","Apr-Jun 2021","AttemptedMurder",1
"55","Jul-Sep 2021","AttemptedMurder",1
"56","Oct-Dec 2021","AttemptedMurder",0
"57","Jan-Mar 2022","AttemptedMurder",1
"58","Apr-Jun 2022","AttemptedMurder",0
"59","Jul-Sep 2022","AttemptedMurder",1
"60","Oct-Dec 2022","AttemptedMurder",1
"61","Jan-Mar 2018","SeriousAssault",33
"62","Apr-Jun 2018","SeriousAssault",17
"63","Jul-Sep 2018","SeriousAssault",29
"64","Oct-Dec 2018","SeriousAssault",26
"65","Jan-Mar 2019","SeriousAssault",28
"66","Apr-Jun 2019","SeriousAssault",34
"67","Jul-Sep 2019","SeriousAssault",38
"68","Oct-Dec 2019","SeriousAssault",25
"69","Jan-Mar 2020","SeriousAssault",17
"70","Apr-Jun 2020","SeriousAssault",12
"71","Jul-Sep 2020","SeriousAssault",17
"72","Oct-Dec 2020","SeriousAssault",30
"73","Jan-Mar 2021","SeriousAssault",21
"74","Apr-Jun 2021","SeriousAssault",25
"75","Jul-Sep 2021","SeriousAssault",26
"76","Oct-Dec 2021","SeriousAssault",29
"77","Jan-Mar 2022","SeriousAssault",17
"78","Apr-Jun 2022","SeriousAssault",18
"79","Jul-Sep 2022","SeriousAssault",21
"80","Oct-Dec 2022","SeriousAssault",30
"81","Jan-Mar 2018","Assault",7
"82","Apr-Jun 2018","Assault",1
"83","Jul-Sep 2018","Assault",11
"84","Oct-Dec 2018","Assault",12
"85","Jan-Mar 2019","Assault",10
"86","Apr-Jun 2019","Assault",10
"87","Jul-Sep 2019","Assault",5
"88","Oct-Dec 2019","Assault",7
"89","Jan-Mar 2020","Assault",6
"90","Apr-Jun 2020","Assault",8
"91","Jul-Sep 2020","Assault",9
"92","Oct-Dec 2020","Assault",5
"93","Jan-Mar 2021","Assault",14
"94","Apr-Jun 2021","Assault",5
"95","Jul-Sep 2021","Assault",10
"96","Oct-Dec 2021","Assault",6
"97","Jan-Mar 2022","Assault",13
"98","Apr-Jun 2022","Assault",8
"99","Jul-Sep 2022","Assault",9
"100","Oct-Dec 2022","Assault",13
"101","Jan-Mar 2018","Robbery",1
"102","Apr-Jun 2018","Robbery",2
